id,word,head,modifier,category_id
306,trø,FALSE,TRUE,3
307,hællvette,TRUE,FALSE,3
308,merr,TRUE,FALSE,3
309,reim,TRUE,FALSE,3
310,søgg,FALSE,TRUE,3
311,skjårr,FALSE,TRUE,3
312,fnatt,FALSE,TRUE,3
313,kauk,FALSE,TRUE,3
314,syt,FALSE,TRUE,3
315,bæs,FALSE,TRUE,3
316,gluint,FALSE,TRUE,3
317,sløg,FALSE,TRUE,3
318,næver,FALSE,TRUE,3
319,balder,FALSE,TRUE,3
320,guri,TRUE,FALSE,3
321,knøvvel,FALSE,TRUE,3
322,skijt,TRUE,FALSE,3
323,tjuv,TRUE,FALSE,3
324,sjura,TRUE,FALSE,3
